text,passageid,citation,passage title,title,description,passage difficulty,question,options,category (prisma),explanation,question difficulty,answer notes,context
"Socrates emerged at a critical moment in Athenian society. The Sophistic teachings had led to a confusion of thought, a corruption of morals and skepticism. Selfishness and self-conceit were everywhere prevalent. Men claimed to know everything, when in reality they knew nothing. An atmosphere entirely foreign to the earlier days of the Athenians hung over the city. The citizens were unable to receive justice at the courts. Wealth, luxury, indifference, immorality, atheism and selfishness had resulted in bringing chaos to Greek life. A crisis faced the people. Who would arouse the citizens from their lethargy?
With Socrates a new era begins in philosophy. He knew his knowledge was limited and he knew how far to proceed and that made him the great man of his age. His influence and power over men was striking. His command was, ""Follow me and thou shalt learn."" Thus, as Socrates taught and questioned all with whom he came in contact, he started to get at the basic principle of all knowledge. He worked with concrete examples and, although many of them were crude and simple, nevertheless they served his purpose.
He studied the soul and strove for the improvement of man's moral nature. His method was entirely introspective. Xenophon tells us that he endeavored to have his pupils distinguish between ""what was pious; what impious; what honorable; what base; what just; what unjust; what wisdom; what folly; what courage; what cowardice."" Consequently, in order to have the Athenian mind grasp his idea of goodness he clearly states and shows how much one is dependent upon the other. There is a relation between man and man, which, if the best is to be obtained, cannot be broken. While his views on goodness, virtue and happiness are utilitarian in their conception, nevertheless, Socrates endeavored to instill in the minds of the citizens the thought that they must work individually and collectively to realize the ideal that he placed before them.
It must be admitted that Socrates' method of teaching and philosophizing excited many of the Athenians' hatred against him. The truths he taught made him very unpopular with the so-called philosophers of the day. He laid bare the superficiality of their systems. Many of them charged high rates of tuition for their instruction. Socrates was glad to impart his noble truths gratuitously to all who would come to him. The result was that he had a large following of disciples from all classes among the Athenians.
However, his personal enemies in order to avenge themselves upon him brought two charges against him: He was an atheist with respect to the gods of the city and he was guilty of introducing a new deity; and he was also guilty in corrupting the minds of the Athenian youth. His accusers condemned him to death. In making his defense, his arguments were irrefutable. His enemies had not proved him guilty. Socrates, out of the fullness of his heart, forgave the Athenians for their injustice. It is true Socrates had his faults; but who has not? Socrates lived the virtuous truths he taught. He was willing to die for the truth in order that the truth might live.",socrates,"Heathcote, Charles W. “Socrates.” Social Science 3, no. 4 (1928): 447–51. http://www.jstor.org/stable/23902315.",Socrates,Socrates,"In the modern era you have to spend like 4 years working on a PhD to make a very narrow academic argument. Back in the good old days of Ancient Greece, all you needed to do was put on a toga and hit the bathhouses with your buddies and then yap about How The World Works.",2,The author's characterization of Socrates' teaching methods suggests that Socrates would be LEAST likely to:,"[""present theory before examining specific cases."",""question students about moral concepts."",""challenge a truth established by authority figures."",""teach an individual of a lower socioeconomic class.""]",Reasoning Within the Text,"[""This answer is correct because the passage explicitly states, \""He worked with concrete examples and, although many of them were crude and simple, nevertheless they served his purpose.\"" This sentence directly indicates that Socrates' teaching method involved starting with specific, tangible examples rather than abstract theories or principles. He moved from the particular to the general, using these examples as a foundation for understanding. Therefore, presenting a theory before examining specific cases would be the opposite of his approach and something he would be least likely to do. A student choosing this answer demonstrates a strong understanding of Socrates' inductive teaching style, where he moved from specific instances to broader concepts, and can infer what he would be least likely to do based on this method."",""This answer is incorrect because the passage provides clear evidence that Socrates did, in fact, question students about moral concepts. It states, \""Xenophon tells us that he endeavored to have his pupils distinguish between 'what was pious; what impious; what honorable; what base; what just; what unjust; what wisdom; what folly; what courage; what cowardice.'\"" This list of concepts shows that Socrates actively engaged his students in discussions and inquiries about morality. Therefore, this option is something Socrates would be very likely to do, not least likely. A student might choose this if they misinterpret the passage or fail to recognize the explicit mention of moral questioning."",""This answer is incorrect because the passage indicates that Socrates was known for challenging established truths and the status quo. It says, \""The truths he taught made him very unpopular with the so-called philosophers of the day. He laid bare the superficiality of their systems.\"" This shows that Socrates was not afraid to question and critique the prevailing ideas and beliefs of his time, including those held by authority figures. Therefore, this option is something Socrates would be very likely to do, not least likely. A student might choose this if they misinterpret the passage or fail to recognize the implications of Socrates' unpopularity with other philosophers."",""This answer is incorrect because the passage explicitly states that Socrates' teachings were accessible to people from all social classes. It says, \""The result was that he had a large following of disciples from all classes among the Athenians.\"" This demonstrates that Socrates did not discriminate based on socioeconomic status and was willing to teach anyone who was interested in learning. Therefore, this option is something Socrates would be very likely to do, not least likely. A student might choose this if they misinterpret the passage or fail to recognize the inclusive nature of Socrates' teachings.""]",1,,"[""He worked with concrete examples and, although many of them were crude and simple, nevertheless they served his purpose.""]"
,socrates,"Heathcote, Charles W. “Socrates.” Social Science 3, no. 4 (1928): 447–51. http://www.jstor.org/stable/23902315.",Socrates,Socrates,"In the modern era you have to spend like 4 years working on a PhD to make a very narrow academic argument. Back in the good old days of Ancient Greece, all you needed to do was put on a toga and hit the bathhouses with your buddies and then yap about How The World Works.",2,Which of the following best describes the relationship between the first and second paragraphs of the passage?,"[""An issue followed by a response."",""A problem followed by a solution."",""An action followed by a reaction."",""A command followed by a belief.""]",Reasoning Within the Text,"[""This answer is correct because the first paragraph meticulously outlines the problems and crises plaguing Athenian society at the time of Socrates' emergence. It describes a society marked by \""confusion of thought, a corruption of morals and skepticism,\"" as well as \""selfishness and self-conceit.\"" The paragraph paints a picture of a society in disarray, highlighting the issues that needed addressing. The second paragraph then introduces Socrates as a figure who arose in response to these issues, marking \""a new era in philosophy.\"" Socrates' approach to teaching and questioning is presented as a direct response to the problems described in the first paragraph. Therefore, the relationship between the two paragraphs is best described as an issue (the problems in Athenian society) followed by a response (Socrates' emergence and teachings). A student choosing this answer demonstrates a clear understanding of how the passage is structured and how the paragraphs relate to each other."",""This answer is incorrect because while the first paragraph does describe a problem, the second paragraph does not present a complete solution. Instead, it introduces Socrates as a figure who is attempting to address the problems. The second paragraph describes Socrates' approach and influence, but it does not claim that he completely solved all the issues. Therefore, the relationship is not a problem followed by a solution, but rather an issue followed by a response. A student might choose this if they misinterpret the passage or fail to recognize that Socrates' work is presented as a response rather than a complete solution."",""This answer is incorrect because the first paragraph does not describe an action, but rather a state of affairs. It describes the conditions and problems within Athenian society, not a specific action that triggers a reaction. The second paragraph introduces Socrates as a figure who is responding to these conditions, but the first paragraph does not present an action. Therefore, the relationship is not an action followed by a reaction. A student might choose this if they misinterpret the passage or fail to recognize that the first paragraph describes a state of being rather than an action."",""This answer is incorrect because the passage does not describe a command followed by a belief. The second paragraph describes Socrates' teachings and influence, but it does not present a command that is followed by a belief. The relationship between the paragraphs is not one of command and belief. A student might choose this if they misinterpret the passage or fail to recognize that the passage does not present a command-belief dynamic.""]",1,,"[""Socrates emerged at a critical moment in Athenian society."",""With Socrates a new era begins in philosophy.""]"
,socrates,"Heathcote, Charles W. “Socrates.” Social Science 3, no. 4 (1928): 447–51. http://www.jstor.org/stable/23902315.",Socrates,Socrates,"In the modern era you have to spend like 4 years working on a PhD to make a very narrow academic argument. Back in the good old days of Ancient Greece, all you needed to do was put on a toga and hit the bathhouses with your buddies and then yap about How The World Works.",2,"According to the passage, what was one of the reasons Socrates became unpopular with other philosophers?","[""He taught for free."",""He was an atheist."",""He misled Athenian youth."",""He claimed to know more.""]",Foundations of Comprehension,"[""This answer is correct because the passage explicitly states, \""Many of them charged high rates of tuition for their instruction. Socrates was glad to impart his noble truths gratuitously to all who would come to him.\"" This directly indicates that Socrates' practice of teaching for free was a point of contention with other philosophers who charged for their services. The passage contrasts Socrates' approach with that of other philosophers, highlighting the financial aspect as a reason for their disapproval. Therefore, Socrates' free teaching was a direct cause of his unpopularity with other philosophers. A student choosing this answer demonstrates a clear understanding of the passage and can identify the explicit reason for Socrates' unpopularity with other philosophers."",""This answer is incorrect because while Socrates was accused of being an atheist, this was not a reason for his unpopularity with other philosophers, but rather a charge brought against him by his personal enemies. The passage states, \""However, his personal enemies in order to avenge themselves upon him brought two charges against him: He was an atheist with respect to the gods of the city...\"" This indicates that the accusation of atheism was a legal charge, not a reason for his unpopularity with other philosophers. A student might choose this if they misinterpret the passage or fail to distinguish between the charges brought against Socrates by his enemies and the reasons for his unpopularity with other philosophers."",""This answer is incorrect because while Socrates was accused of corrupting the youth, this was not a reason for his unpopularity with other philosophers, but rather a charge brought against him by his personal enemies. The passage states, \""...and he was also guilty in corrupting the minds of the Athenian youth.\"" This indicates that the accusation of corrupting the youth was a legal charge, not a reason for his unpopularity with other philosophers. A student might choose this if they misinterpret the passage or fail to distinguish between the charges brought against Socrates by his enemies and the reasons for his unpopularity with other philosophers."",""This answer is incorrect because the passage explicitly states that Socrates knew his knowledge was limited. It says, \""He knew his knowledge was limited and he knew how far to proceed and that made him the great man of his age.\"" This indicates that Socrates did not claim to know more than others, but rather acknowledged the limits of his knowledge. Therefore, this option is not a reason for his unpopularity with other philosophers. A student might choose this if they misinterpret the passage or fail to recognize that Socrates was aware of his limitations.""]",1,,"[""Many of them charged high rates of tuition for their instruction. Socrates was glad to impart his noble truths gratuitously to all who would come to him.""]"
,socrates,"Heathcote, Charles W. “Socrates.” Social Science 3, no. 4 (1928): 447–51. http://www.jstor.org/stable/23902315.",Socrates,Socrates,"In the modern era you have to spend like 4 years working on a PhD to make a very narrow academic argument. Back in the good old days of Ancient Greece, all you needed to do was put on a toga and hit the bathhouses with your buddies and then yap about How The World Works.",2,What could the reader assume about the state of Athenian society in the “early days”? (paragraph 1),"[""It was relatively stable and ordered."",""People mistrusted the judicial system."",""It lacked intelligent philosophers."",""It had been a time of great instability.""]",Reasoning Within the Text,"[""This answer is correct because the first paragraph describes the chaos and corruption that had taken over Athenian society at the time of Socrates' emergence. It states, \""The Sophistic teachings had led to a confusion of thought, a corruption of morals and skepticism. Selfishness and self-conceit were everywhere prevalent...Wealth, luxury, indifference, immorality, atheism and selfishness had resulted in bringing chaos to Greek life.\"" The phrase \""An atmosphere entirely foreign to the earlier days of the Athenians hung over the city\"" implies that the \""early days\"" were different and more stable. The contrast between the current state of chaos and the \""earlier days\"" suggests that the \""early days\"" were characterized by stability and order. A student choosing this answer demonstrates a strong understanding of the passage and can infer the state of Athenian society in the \""early days\"" based on the contrast presented in the text."",""This answer is incorrect because the passage states that the citizens were unable to receive justice at the courts, implying that this was a new development, not a characteristic of the \""early days\"". The passage says, \""The citizens were unable to receive justice at the courts.\"" This indicates that the judicial system had become corrupt, but it does not imply that people mistrusted the judicial system in the \""early days.\"" Therefore, this option is not a valid assumption about the \""early days.\"" A student might choose this if they misinterpret the passage or fail to recognize that the corruption of the judicial system is presented as a new development."",""This answer is incorrect because the passage does not mention a lack of intelligent philosophers in the \""early days\"". The passage focuses on the problems caused by the Sophists and the emergence of Socrates, but it does not provide any information about the presence or absence of intelligent philosophers in the \""early days.\"" Therefore, this option is not a valid assumption about the \""early days.\"" A student might choose this if they misinterpret the passage or fail to recognize that the passage does not provide information about the philosophical landscape of the \""early days.\"""",""This answer is incorrect because the passage implies that the \""early days\"" were more stable, not unstable. The passage contrasts the current state of chaos with the \""earlier days,\"" suggesting that the \""earlier days\"" were characterized by stability and order. Therefore, this option is not a valid assumption about the \""early days.\"" A student might choose this if they misinterpret the passage or fail to recognize the contrast between the current state and the \""earlier days.\""""]",1,,"[""An atmosphere entirely foreign to the earlier days of the Athenians hung over the city.""]"
,socrates,"Heathcote, Charles W. “Socrates.” Social Science 3, no. 4 (1928): 447–51. http://www.jstor.org/stable/23902315.",Socrates,Socrates,"In the modern era you have to spend like 4 years working on a PhD to make a very narrow academic argument. Back in the good old days of Ancient Greece, all you needed to do was put on a toga and hit the bathhouses with your buddies and then yap about How The World Works.",2,Which of the following statements regarding Socrates’ death would the author most likely agree with?,"[""It represented a triumph of truth over injustice through sacrifice."",""It was a justified response to his challenge of Athenian traditions."",""It resulted primarily from his inability to defend himself effectively."",""It demonstrated the success of his enemies in their accusations.""]",Reasoning Beyond the Text,"[""This answer is correct because the passage concludes with the statement, \""Socrates lived the virtuous truths he taught. He was willing to die for the truth in order that the truth might live.\"" This statement indicates that the author views Socrates' death as a sacrifice for the sake of truth, implying that it was a triumph of truth over injustice. The author emphasizes Socrates' commitment to his principles and his willingness to die for them. Therefore, the author would most likely agree that Socrates' death represented a triumph of truth through sacrifice. A student choosing this answer demonstrates a strong understanding of the passage and can infer the author's perspective on Socrates' death based on the concluding statement."",""This answer is incorrect because the passage indicates that Socrates' death was unjust, not justified. The passage states, \""In making his defense, his arguments were irrefutable. His enemies had not proved him guilty.\"" This indicates that Socrates was innocent and that his death was a result of injustice, not a justified response to his challenge of Athenian traditions. Therefore, the author would not agree that Socrates' death was justified. A student might choose this if they misinterpret the passage or fail to recognize that the author presents Socrates' death as an injustice."",""This answer is incorrect because the passage explicitly states that Socrates was able to defend himself effectively. It says, \""In making his defense, his arguments were irrefutable. His enemies had not proved him guilty.\"" This indicates that Socrates' death was not a result of his inability to defend himself, but rather a result of the injustice of his accusers. Therefore, the author would not agree that Socrates' death resulted from his inability to defend himself. A student might choose this if they misinterpret the passage or fail to recognize that the author presents Socrates' defense as irrefutable."",""This answer is incorrect because the passage indicates that Socrates was innocent, not guilty. The passage states, \""In making his defense, his arguments were irrefutable. His enemies had not proved him guilty.\"" This indicates that Socrates' death was not a result of the success of his enemies' accusations, but rather a result of their injustice. Therefore, the author would not agree that Socrates' death demonstrated the success of his enemies' accusations. A student might choose this if they misinterpret the passage or fail to recognize that the author presents Socrates as innocent.""]",1,,"[""Socrates lived the virtuous truths he taught. He was willing to die for the truth in order that the truth might live.""]"
,socrates,"Heathcote, Charles W. “Socrates.” Social Science 3, no. 4 (1928): 447–51. http://www.jstor.org/stable/23902315.",Socrates,Socrates,"In the modern era you have to spend like 4 years working on a PhD to make a very narrow academic argument. Back in the good old days of Ancient Greece, all you needed to do was put on a toga and hit the bathhouses with your buddies and then yap about How The World Works.",2,Which of the following statements would MOST challenge Xenophon's claim about Socrates' teaching method?,"[""Socrates taught virtues through comparative analysis rather than through comparative analysis."",""Socrates emphasized individual reflection before group discussion of virtues."",""Socrates presented moral concepts through examples rather than definitions."",""Socrates focused on practical applications rather than theoretical distinctions.""]",Reasoning Beyond the Text,"[""This answer is correct because it presents a direct contradiction, stating that Socrates taught virtues through comparative analysis rather than through comparative analysis. This statement is logically impossible and therefore directly challenges any claim about Socrates' teaching method, including Xenophon's. The contradiction highlights the absurdity of the statement and makes it the most challenging option. A student choosing this answer demonstrates a strong understanding of logic and can identify a direct contradiction as the most challenging option."",""This answer is incorrect because the passage does not mention individual reflection before group discussion. While Socrates engaged his pupils in discussions about virtues, the passage does not specify whether he emphasized individual reflection before group discussion. Therefore, this option does not directly challenge Xenophon's claim. A student might choose this if they misinterpret the passage or fail to recognize that the passage does not provide information about individual reflection."",""This answer is incorrect because the passage states that Socrates worked with concrete examples. The passage says, \""He worked with concrete examples...\"" This indicates that Socrates did use examples in his teaching method, which aligns with Xenophon's claim that he helped his pupils distinguish between virtues. Therefore, this option does not challenge Xenophon's claim. A student might choose this if they misinterpret the passage or fail to recognize that the use of examples is consistent with Xenophon's claim."",""This answer is incorrect because the passage does not mention practical applications. While Socrates' teachings were aimed at improving man's moral nature, the passage does not specifically mention a focus on practical applications rather than theoretical distinctions. Therefore, this option does not directly challenge Xenophon's claim. A student might choose this if they misinterpret the passage or fail to recognize that the passage does not provide information about practical applications.""]",1,,"[""Xenophon tells us that he endeavored to have his pupils distinguish between \""what was pious; what impious; what honorable; what base; what just; what unjust; what wisdom; what folly; what courage; what cowardice.\""""]"
,socrates,"Heathcote, Charles W. “Socrates.” Social Science 3, no. 4 (1928): 447–51. http://www.jstor.org/stable/23902315.",Socrates,Socrates,"In the modern era you have to spend like 4 years working on a PhD to make a very narrow academic argument. Back in the good old days of Ancient Greece, all you needed to do was put on a toga and hit the bathhouses with your buddies and then yap about How The World Works.",2,The author’s mention of Socrates' 'faults' in the final paragraph most likely serves to:,"[""acknowledge human imperfection while emphasizing Socrates' moral commitment."",""preempt potential criticism while reinforcing the passage's moral message."",""prove the illegitimacy of the grievances that his accusers leveled upon him."",""demonstrate how Socrates' self-awareness extended to his own imperfections.""]",Reasoning Within the Text,"[""This answer is correct because the passage states, \""It is true Socrates had his faults; but who has not? Socrates lived the virtuous truths he taught.\"" This statement acknowledges that Socrates was not perfect, but it immediately follows with an emphasis on his commitment to living by the virtuous truths he taught. The author uses the acknowledgement of Socrates' faults to highlight his moral commitment, suggesting that even with imperfections, he was a man of great virtue. Therefore, the mention of Socrates' faults serves to acknowledge human imperfection while emphasizing his moral commitment. A student choosing this answer demonstrates a strong understanding of the passage and can infer the author's purpose in mentioning Socrates' faults."",""This answer is incorrect because the author does not preempt potential criticism. While the author acknowledges Socrates' faults, this is not done to preempt criticism, but rather to emphasize his moral commitment. The author does not attempt to address potential criticisms of Socrates, but rather uses the acknowledgement of his faults to highlight his virtues. Therefore, this option is not the primary purpose of mentioning Socrates' faults. A student might choose this if they misinterpret the passage or fail to recognize that the author's purpose is not to preempt criticism."",""This answer is incorrect because the author does not attempt to prove the illegitimacy of the grievances. While the author presents Socrates as innocent, the mention of his faults is not intended to prove the illegitimacy of the grievances leveled against him. The author's focus is on Socrates' moral commitment, not on disproving the charges against him. Therefore, this option is not the primary purpose of mentioning Socrates' faults. A student might choose this if they misinterpret the passage or fail to recognize that the author's purpose is not to disprove the charges against Socrates."",""This answer is incorrect because the author does not demonstrate Socrates' self-awareness. While the author acknowledges Socrates' faults, this is not done to demonstrate Socrates' self-awareness, but rather to emphasize his moral commitment. The author does not provide any information about Socrates' self-awareness. Therefore, this option is not the primary purpose of mentioning Socrates' faults. A student might choose this if they misinterpret the passage or fail to recognize that the author's purpose is not to demonstrate Socrates' self-awareness.""]",1,,"[""It is true Socrates had his faults; but who has not? Socrates lived the virtuous truths he taught.""]"
"Cities are changing in shape and spreading out rather than retaining the compact nature that previously characterized many urban settlements in Europe. An analysis of urban sprawl in Rome from 1949 to 2006 revealed interesting patterns of urban change. Rome grew from a compact city in the 1940s to one with urban sprawl by 2006. Urban sprawl is generally a negative phenomenon that creates a number of environmental, spatial, social and economic problems. The concept of the compact city emerged as a reaction to the great increase in sprawling suburbs after the Second World War. This is one reason why the compact city is one of the most important topics on the international environmental agenda.
The literature on the psychological aspects of compact cities can be analyzed from many perspectives. Urban space has a social character because it is produced in a collective process; the social perception is a result of a subjective point of view. Properly organized space in cities (and corresponding urban systems) must foster social inclusion, prevent social exclusion, and promote identification and interaction between people. The living area and all the elements needed for survival (e.g., buildings, infrastructure and landscape) must be treated as a group of experimental behavioral phenomena manifested in the personal relationship between people and place (i.e., the sense of place). This unique relationship has been named topophilia by Yi-Fu Tuan. People perceive space and decide whether it meets their requirements regarding compactness.
The word urban comes from Latin urbanus 'belonging to a town'. Urban areas are built by people and contrast with surrounding areas. According to various definitions, a compact city is a spatial urban structure characterized by compact urban areas with urban agglomeration. The physical (urban or functional) structure of a compact city interacts with psychological aspects; namely, the social perception of a compact city. A city can be compact from the urban point of view, but its social perception may be totally different.
Research in the city of Toruń demonstrates this principle. From the point of view of the grid network analysis, Toruń is quite compact. Urban areas are located in the core zone, and less urbanized or non-urbanized areas surround the urban areas, creating a green belt that seamlessly connects the suburban natural areas, ensuring the preservation of natural habitats. However, from a social perception standpoint, residents do not generally perceive Toruń as very compact. While the city's public spaces are well organized and distances are short, respondents identify significant limitations in sustainable activities and energy management that affect their perception of the city's compactness.
This disconnect between physical structure and social perception reveals a crucial insight: a compact city has not only physical and functional dimensions but also psychological ones, created by its users' perception of space. A city may be technically compact in its urban planning while failing to create a sense of compactness for its residents.",compact_cities,"Adapted from Rogatka, K. & Ramos Ribeiro, R. R. (2015). A compact city and its social perception: A case study. Urbani izziv, 26(1), 121-131.",Compact Cities,Compact Cities - Part 1,"The person who wrote this should visit the urban sprawl that is Houston. It's the fourth biggest city in the United States but you never hear about anyone dreaming about moving there. ""Man, I wanna be stuck on Interstate 610 while a guy in a Ford F150 drives twenty over the speed limit while shotgunning an extra large Whataburger coke.""",2,"According to the passage, which of the following best explains why Rome serves as a significant example?","[""It demonstrates a shift from urban density to modern sprawl."",""It shows successful resistance to post-war suburban expansion."",""It represents the ideal social perception of urban spaces."",""It illustrates ineffective modern compact city planning.""]",Reasoning Beyond the Text,"[""This answer is correct because the passage explicitly states, \""Rome grew from a compact city in the 1940s to one with urban sprawl by 2006.\"" This directly indicates that Rome serves as an example of a city that has transitioned from a compact form to a sprawling one. The passage uses Rome as a case study to illustrate the phenomenon of urban sprawl. Therefore, Rome is significant because it demonstrates a shift from urban density to modern sprawl. A student choosing this answer demonstrates a clear understanding of the passage and can identify the explicit reason for Rome's significance."",""This answer is incorrect because the passage states that Rome experienced urban sprawl, not resistance to it. The passage says, \""Rome grew from a compact city in the 1940s to one with urban sprawl by 2006.\"" This indicates that Rome did not resist post-war suburban expansion, but rather succumbed to it. Therefore, this option is not a valid explanation for Rome's significance. A student might choose this if they misinterpret the passage or fail to recognize that Rome is presented as an example of urban sprawl."",""This answer is incorrect because the passage does not present Rome as an example of ideal social perception. The passage focuses on the negative aspects of urban sprawl and the disconnect between physical structure and social perception. Therefore, this option is not a valid explanation for Rome's significance. A student might choose this if they misinterpret the passage or fail to recognize that Rome is presented as an example of urban sprawl, not ideal social perception."",""This answer is incorrect because the passage does not discuss Rome's compact city planning. The passage focuses on Rome's transition from a compact city to a sprawling one, not on its compact city planning. Therefore, this option is not a valid explanation for Rome's significance. A student might choose this if they misinterpret the passage or fail to recognize that Rome is presented as an example of urban sprawl, not compact city planning.""]",1,,"[""Rome grew from a compact city in the 1940s to one with urban sprawl by 2006.""]"
,compact_cities,"Adapted from Rogatka, K. & Ramos Ribeiro, R. R. (2015). A compact city and its social perception: A case study. Urbani izziv, 26(1), 121-131.",Compact Cities,Compact Cities - Part 1,"The person who wrote this should visit the urban sprawl that is Houston. It's the fourth biggest city in the United States but you never hear about anyone dreaming about moving there. ""Man, I wanna be stuck on Interstate 610 while a guy in a Ford F150 drives twenty over the speed limit while shotgunning an extra large Whataburger coke.""",2,The passage suggests that topophilia is most directly related to:,"[""connections between residents and their environment."",""urban planning techniques for city development."",""physical measurements of urban density."",""social interactions between city residents.""]",Foundations of Comprehension,"[""This answer is correct because the passage defines topophilia as \""the personal relationship between people and place (i.e., the sense of place).\"" This definition directly indicates that topophilia is related to the connections between residents and their environment. The passage emphasizes the importance of the relationship between people and their surroundings in the context of urban spaces. Therefore, topophilia is most directly related to connections between residents and their environment. A student choosing this answer demonstrates a clear understanding of the passage and can identify the explicit definition of topophilia."",""This answer is incorrect because the passage does not directly relate topophilia to urban planning techniques. While the passage discusses the importance of urban planning, it does not define topophilia as a technique for city development. Therefore, this option is not a valid explanation for topophilia. A student might choose this if they misinterpret the passage or fail to recognize that topophilia is a concept related to the relationship between people and place, not a planning technique."",""This answer is incorrect because the passage does not directly relate topophilia to physical measurements of urban density. While the passage discusses the physical structure of cities, it does not define topophilia as a measurement of urban density. Therefore, this option is not a valid explanation for topophilia. A student might choose this if they misinterpret the passage or fail to recognize that topophilia is a concept related to the relationship between people and place, not a measurement of urban density."",""This answer is incorrect because while social interactions are important in urban spaces, the passage defines topophilia as the relationship between people and place, not social interactions. The passage says, \""The living area and all the elements needed for survival (e.g., buildings, infrastructure and landscape) must be treated as a group of experimental behavioral phenomena manifested in the personal relationship between people and place (i.e., the sense of place).\"" Therefore, this option is not a valid explanation for topophilia. A student might choose this if they misinterpret the passage or fail to recognize that topophilia is a concept related to the relationship between people and place, not social interactions.""]",1,,"[""The living area and all the elements needed for survival (e.g., buildings, infrastructure and landscape) must be treated as a group of experimental behavioral phenomena manifested in the personal relationship between people and place (i.e., the sense of place).""]"
,compact_cities,"Adapted from Rogatka, K. & Ramos Ribeiro, R. R. (2015). A compact city and its social perception: A case study. Urbani izziv, 26(1), 121-131.",Compact Cities,Compact Cities - Part 1,"The person who wrote this should visit the urban sprawl that is Houston. It's the fourth biggest city in the United States but you never hear about anyone dreaming about moving there. ""Man, I wanna be stuck on Interstate 610 while a guy in a Ford F150 drives twenty over the speed limit while shotgunning an extra large Whataburger coke.""",2,"If a city's public transportation system was highly efficient but residents felt isolated from key services, this situation would most closely parallel:","[""Toruń's disconnect between physical structure and social experience"",""Rome's evolution from compact to sprawling"",""Yu Fi Tuan’s concept of topophilia."",""the development of postwar suburbs.""]",Reasoning Beyond the Text,"[""This answer is correct because the situation described, where a city has an efficient public transportation system but residents feel isolated, is analogous to Toruń's situation. The passage states that Toruń is physically compact, but residents do not perceive it as such due to limitations in sustainable activities and energy management. Similarly, in the given scenario, the efficient transportation system represents the physical aspect, while the residents' feelings of isolation represent the social perception. Therefore, this situation most closely parallels Toruń's disconnect between physical structure and social experience. A student choosing this answer demonstrates a strong understanding of the passage and can apply the concept of Toruń's disconnect to a new situation."",""This answer is incorrect because Rome's evolution from compact to sprawling is not directly related to the situation described. Rome's example focuses on the physical change of a city, not the disconnect between physical structure and social experience. Therefore, this option is not the closest parallel to the given situation. A student might choose this if they misinterpret the passage or fail to recognize that the given situation is about the disconnect between physical structure and social experience, not the physical change of a city."",""This answer is incorrect because Yu Fi Tuan's concept of topophilia is about the relationship between people and place, not the disconnect between physical structure and social experience. While topophilia is related to how people perceive their environment, it does not directly address the situation described. Therefore, this option is not the closest parallel to the given situation. A student might choose this if they misinterpret the passage or fail to recognize that the given situation is about the disconnect between physical structure and social experience, not the relationship between people and place."",""This answer is incorrect because the development of postwar suburbs is not directly related to the situation described. The development of postwar suburbs is about the physical expansion of cities, not the disconnect between physical structure and social experience. Therefore, this option is not the closest parallel to the given situation. A student might choose this if they misinterpret the passage or fail to recognize that the given situation is about the disconnect between physical structure and social experience, not the physical expansion of cities.""]",1,,"[""However, from a social perception standpoint, residents do not generally perceive Toruń as very compact."",""While the city's public spaces are well organized and distances are short, respondents identify significant limitations in sustainable activities and energy management that affect their perception of the city's compactness.""]"
