,conceptCategory,Title,link,type,total timing,minutes_estimate,transcript
,Amino Acids,AK: Introduction to Amino Acids,https://www.youtube.com/watch?v=LHNNOIMt5x0,video,,24,
,Amino Acids,AK: Amino Acid: Mneumonic Overview,https://www.youtube.com/watch?v=31sLSoK_qww,video,,24,
,Amino Acids,AK: Amino Acids & PKA,https://www.youtube.com/watch?v=eE4WgONS6-k,video,,16,
,Amino Acids,OpenStax Amino Acids,https://drive.google.com/file/d/19LlxRfN5GaPwUr2RQWujp7npPkXRzVaX/view?usp=drive_link,reading,,40,
,Amino Acids,OpenStax Amino Acid Henderson Hasselbach,https://drive.google.com/file/d/1LFrLVVIf6_WJN4f1UjcHlVj8ekslNfM6/view?usp=drive_link,reading,,40,
,Enzymes,AK: Properties of Enzymes,https://www.youtube.com/watch?v=Gy3fEdy9cCA&list=PL9jo2wQj1WCNypGCqFxAl8GBsxgAsEgis&index=1,video,,20,
,Enzymes,AK: Activation Energy,https://www.youtube.com/watch?v=tPCOEUo6J8s&list=PL9jo2wQj1WCNypGCqFxAl8GBsxgAsEgis&index=2,video,,24,
,Enzymes,AK: Gibbs Free Energy,https://www.youtube.com/watch?v=u_IQu7h6xfo&list=PL9jo2wQj1WCNypGCqFxAl8GBsxgAsEgis&index=3,video,,11,
,Enzymes,AK: Transition States,https://www.youtube.com/watch?v=NEQ9WS8w-2I&list=PL9jo2wQj1WCNypGCqFxAl8GBsxgAsEgis&index=4,video,,13,
,Enzymes,AK: Properties of Active Sites,https://www.youtube.com/watch?v=xzeg7ult6pM&list=PL9jo2wQj1WCNypGCqFxAl8GBsxgAsEgis&index=5,video,,22,
,Enzymes,AK: Inhibition,https://www.youtube.com/watch?v=0ZiCqwtFMTs&list=PL9jo2wQj1WCNypGCqFxAl8GBsxgAsEgis&index=16,video,,32,
,Enzymes,LibreText: Enzymes,https://drive.google.com/file/d/1QSy0onMeXYwxHF8SBsIRMEwu64tFng-x/view?usp=drive_link,reading,,40,
,Proteins,KA: Peptide Bond,https://www.youtube.com/watch?v=LJvpGcSwWbg&list=PLbKSbFnKYVY0By5uwg3eAmGeuynvGqCQw&index=4,reading,,14,
,Proteins,KA: Protein Structure,https://www.youtube.com/watch?v=iDVR1TB1X9w&list=PLbKSbFnKYVY0By5uwg3eAmGeuynvGqCQw&index=5,video,,16,
,Proteins,KA: Conformational Stability,https://www.youtube.com/watch?v=gXa6JIv5WlQ&list=PLbKSbFnKYVY0By5uwg3eAmGeuynvGqCQw&index=6,video,,15,
,Proteins,KA: Nonenzymatic Function,https://www.youtube.com/watch?v=eVmLvbB6L18&list=PLbKSbFnKYVY0By5uwg3eAmGeuynvGqCQw&index=7,video,,20,
,Proteins,OpenStax: Proteins,https://drive.google.com/file/d/1gCan4ThSkMyupChBzxiw2CIJgeqFpSV1/view?usp=drive_link,reading,,40,
,DNA & Biotechnology,AK: Introduction to Amino Acids,https://www.youtube.com/watch?v=1Wc4jTH2v_w&list=PLEb9Ugg1mc_mpKysr4RcjfeBIrl6qHRER,video,,16,
,DNA & Biotechnology,AK: Composition of Amino Acids,https://www.youtube.com/watch?v=Ux1tAy1Jb_I&list=PLEb9Ugg1mc_mpKysr4RcjfeBIrl6qHRER&index=2,video,,30,
,DNA & Biotechnology,AK: Nucleotides & Nucleosides,https://www.youtube.com/watch?v=GgQrEJaEH0U&list=PLEb9Ugg1mc_mpKysr4RcjfeBIrl6qHRER&index=3,video,,24,
,DNA & Biotechnology,AK: Watson-Crick Model,https://www.youtube.com/watch?v=VLD9VLxN3PI&list=PLEb9Ugg1mc_mpKysr4RcjfeBIrl6qHRER&index=4,video,,18,
,DNA & Biotechnology,KA: DNA Replication,https://www.youtube.com/watch?v=to6fXp6PTxo,video,,22,
